server_time,esp_millis,ecg,resp
1759864381.6159022,1400107.0,2.0,45.0
1759864381.635732,1400127.0,1.0,42.0
1759864381.659132,1400147.0,1.0,38.0
1759864381.6755881,1400167.0,1.0,34.0
1759864381.6989512,1400187.0,1.0,29.0
1759864381.7180188,1400207.0,2.0,23.0
1759864381.7421088,1400227.0,2.0,17.0
1759864381.7555275,1400247.0,1.0,11.0
1759864381.7782166,1400267.0,1.0,3.0
1759864381.7952807,1400287.0,1.0,-4.0
1759864381.8224022,1400307.0,0.0,-13.0
1759864381.835421,1400327.0,0.0,-21.0
1759864381.855689,1400347.0,0.0,-31.0
1759864381.8801033,1400367.0,-1.0,-40.0
1759864381.8955812,1400387.0,-1.0,-50.0
1759864381.9155426,1400407.0,0.0,-60.0
1759864381.9355247,1400427.0,-1.0,-71.0
1759864381.95522,1400447.0,-1.0,-81.0
1759864381.9757125,1400467.0,-1.0,-92.0
1759864381.9954667,1400487.0,0.0,-103.0
1759864382.0157318,1400507.0,-1.0,-114.0
1759864382.0379345,1400527.0,-1.0,-125.0
1759864382.055639,1400547.0,0.0,-135.0
1759864382.0755112,1400567.0,0.0,-146.0
1759864382.0979648,1400587.0,-1.0,-156.0
1759864382.115505,1400607.0,-1.0,-166.0
1759864382.1362998,1400627.0,-2.0,-176.0
1759864382.155606,1400647.0,-2.0,-185.0
1759864382.1757808,1400667.0,-1.0,-194.0
1759864382.1980565,1400687.0,-1.0,-202.0
1759864382.2162006,1400707.0,-2.0,-210.0
1759864382.2353363,1400727.0,-2.0,-217.0
1759864382.2562318,1400747.0,-1.0,-224.0
1759864382.278344,1400767.0,-2.0,-230.0
1759864382.2959964,1400787.0,-2.0,-235.0
1759864382.3158011,1400807.0,-1.0,-239.0
1759864382.3358104,1400827.0,-2.0,-243.0
1759864382.355814,1400847.0,0.0,-246.0
1759864382.375599,1400867.0,0.0,-247.0
1759864382.399041,1400887.0,-6.0,-249.0
1759864382.4187474,1400907.0,-13.0,-249.0
1759864382.4358294,1400927.0,-12.0,-249.0
1759864382.4589381,1400947.0,-9.0,-247.0
1759864382.4835997,1400967.0,-12.0,-245.0
1759864382.4956644,1400987.0,-12.0,-242.0
1759864382.5157132,1401007.0,-6.0,-238.0
1759864382.53862,1401027.0,-2.0,-234.0
1759864382.5570886,1401047.0,-3.0,-228.0
1759864382.5785546,1401067.0,-4.0,-222.0
1759864382.595393,1401087.0,-2.0,-216.0
1759864382.6155632,1401107.0,-1.0,-208.0
1759864382.6359308,1401127.0,-2.0,-200.0
1759864382.6579382,1401147.0,-2.0,-192.0
1759864382.675478,1401167.0,-1.0,-183.0
1759864382.6955144,1401187.0,-1.0,-173.0
1759864382.7244453,1401207.0,-1.0,-164.0
1759864382.7384746,1401227.0,-2.0,-153.0
1759864382.759159,1401247.0,-2.0,-143.0
1759864382.7757604,1401267.0,-2.0,-132.0
1759864382.7986114,1401287.0,-2.0,-122.0
1759864382.81602,1401307.0,-2.0,-111.0
1759864382.8356223,1401327.0,-1.0,-100.0
1759864382.8561425,1401347.0,-1.0,-89.0
1759864382.875815,1401367.0,-1.0,-79.0
1759864382.898783,1401387.0,-1.0,-68.0
1759864382.915541,1401407.0,-1.0,-58.0
1759864382.9362624,1401427.0,0.0,-47.0
1759864382.958888,1401447.0,0.0,-38.0
1759864382.9756725,1401467.0,-2.0,-28.0
1759864382.997835,1401487.0,-2.0,-19.0
1759864383.0158849,1401507.0,-1.0,-10.0
1759864383.0414505,1401527.0,-1.0,-2.0
1759864383.05584,1401547.0,-1.0,5.0
1759864383.075678,1401567.0,0.0,13.0
1759864383.0993433,1401587.0,0.0,19.0
1759864383.1184845,1401607.0,-1.0,25.0
1759864383.1428356,1401627.0,-1.0,30.0
1759864383.1578758,1401647.0,-1.0,35.0
1759864383.1761932,1401667.0,0.0,39.0
1759864383.1986246,1401687.0,1.0,43.0
1759864383.217731,1401707.0,1.0,46.0
1759864383.2371476,1401727.0,-1.0,48.0
1759864383.2562764,1401747.0,-1.0,50.0
1759864383.2755086,1401767.0,0.0,51.0
1759864383.2959507,1401787.0,0.0,51.0
